"DateTime","Confirmed cases","Discharged from hospital","Active cases estimate","Deaths","In treatment","Intensive care"
"2020-02-26 00:00:00",1,0,1,0,1,0
"2020-02-27 00:00:00",1,0,1,0,1,0
"2020-02-28 00:00:00",1,0,1,0,1,0
"2020-02-29 00:00:00",1,0,1,0,1,0
"2020-03-01 00:00:00",1,0,1,0,1,0
"2020-03-02 00:00:00",2,0,2,0,1,0
"2020-03-03 00:00:00",2,0,2,0,1,0
"2020-03-04 00:00:00",3,0,3,0,1,0
"2020-03-05 00:00:00",10,0,10,0,1,0
"2020-03-06 00:00:00",10,0,10,0,1,0
"2020-03-07 00:00:00",10,0,10,0,1,0
"2020-03-08 00:00:00",10,0,10,0,1,0
"2020-03-09 00:00:00",13,0,13,0,1,0
"2020-03-10 00:00:00",15,0,15,0,2,0
"2020-03-11 00:00:00",18,0,17,0,2,0
"2020-03-12 00:00:00",58,1,57,0,2,0
"2020-03-13 00:00:00",102,1,101,0,2,0
"2020-03-14 00:00:00",125,1,124,0,3,0
"2020-03-15 00:00:00",200,1,199,0,4,0
"2020-03-16 00:00:00",225,2,223,0,7,0
"2020-03-17 00:00:00",247,2,245,0,10,0
"2020-03-18 00:00:00",275,2,272,0,14,0
"2020-03-19 00:00:00",303,3,293,0,21,0
"2020-03-20 00:00:00",315,6,305,0,27,2
"2020-03-21 00:00:00",356,8,346,0,27,4
"2020-03-22 00:00:00",369,11,359,0,31,6
"2020-03-23 00:00:00",393,13,380,0,38,7
"2020-03-24 00:00:00",468,13,453,1,40,7
"2020-03-25 00:00:00",523,15,505,1,49,7
"2020-03-26 00:00:00",559,18,501,1,55,7
"2020-03-27 00:00:00",624,25,522,1,66,10
"2020-03-28 00:00:00",663,25,538,3,72,10
"2020-03-29 00:00:00",694,25,494,3,88,13
"2020-03-30 00:00:00",727,31,502,4,101,13
"2020-03-31 00:00:00",785,36,538,5,107,15
"2020-04-01 00:00:00",863,51,588,11,108,16
"2020-04-02 00:00:00",956,54,653,12,100,16
"2020-04-03 00:00:00",1030,62,715,13,126,20
"2020-04-04 00:00:00",1092,65,736,15,137,17
"2020-04-05 00:00:00",1103,66,734,19,136,14
"2020-04-06 00:00:00",1146,72,753,21,138,12
"2020-04-07 00:00:00",1182,76,714,24,144,11
"2020-04-08 00:00:00",1205,90,682,24,144,9
"2020-04-09 00:00:00",1256,97,697,24,143,9
"2020-04-10 00:00:00",1301,98,677,24,144,11
"2020-04-11 00:00:00",1306,103,643,25,155,11
"2020-04-12 00:00:00",1325,109,631,27,159,9
"2020-04-13 00:00:00",1369,122,642,31,159,11
"2020-04-14 00:00:00",1398,127,613,35,149,10
"2020-04-15 00:00:00",1432,142,569,36,147,10
"2020-04-16 00:00:00",1457,153,501,38,136,11
"2020-04-17 00:00:00",1510,170,480,38,135,11
"2020-04-18 00:00:00",1526,171,434,40,124,10
"2020-04-19 00:00:00",1533,172,430,40,125,9
"2020-04-20 00:00:00",1550,177,404,43,126,8
"2020-04-21 00:00:00",1557,190,375,44,123,7
"2020-04-22 00:00:00",1589,195,384,45,115,7
"2020-04-23 00:00:00",1605,201,349,46,114,6
"2020-04-24 00:00:00",1634,212,333,47,111,6
"2020-04-25 00:00:00",1643,217,337,50,102,6
"2020-04-26 00:00:00",1647,217,322,52,96,7
"2020-04-27 00:00:00",1657,226,288,52,99,8
"2020-04-28 00:00:00",1666,232,268,52,93,10
"2020-04-29 00:00:00",1689,242,257,54,87,9
"2020-04-30 00:00:00",1694,249,237,54,79,7
"2020-05-01 00:00:00",1699,253,189,55,79,7
"2020-05-02 00:00:00",1700,256,174,57,80,7
"2020-05-03 00:00:00",1703,256,170,57,77,6
"2020-05-04 00:00:00",1711,265,161,57,78,6
"2020-05-05 00:00:00",1713,268,156,57,69,4
"2020-05-06 00:00:00",1720,275,131,59,67,4
"2020-05-07 00:00:00",1725,280,120,59,61,5
"2020-05-08 00:00:00",1733,287,99,60,55,5
"2020-05-09 00:00:00",1739,287,96,60,49,5
"2020-05-10 00:00:00",1741,289,94,61,49,5
"2020-05-11 00:00:00",1746,291,89,61,48,5
"2020-05-12 00:00:00",1751,293,85,61,47,5
"2020-05-13 00:00:00",1758,296,69,62,45,5
"2020-05-14 00:00:00",1766,299,72,63,44,5
"2020-05-15 00:00:00",1770,302,71,63,42,5
"2020-05-16 00:00:00",1774,302,74,63,41,4
"2020-05-17 00:00:00",1783,303,80,64,43,4
"2020-05-18 00:00:00",1791,312,80,64,50,3
"2020-05-19 00:00:00",1794,319,81,64,45,2
"2020-05-20 00:00:00",1800,322,80,64,40,2
"2020-05-21 00:00:00",1807,325,82,64,40,2
"2020-05-22 00:00:00",1821,328,88,64,41,1
"2020-05-23 00:00:00",1823,328,84,64,40,1
"2020-05-24 00:00:00",1824,329,83,65,41,1
"2020-05-25 00:00:00",1834,333,88,65,41,1
"2020-05-26 00:00:00",1840,339,89,66,37,0
"2020-05-27 00:00:00",1851,340,93,66,32,0
"2020-05-28 00:00:00",1859,341,93,67,34,0
"2020-05-29 00:00:00",1865,346,95,67,32,0
"2020-05-30 00:00:00",1869,346,95,68,28,0
